Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
414,Grant Ledyard\ledyagr01,38,OTT,D,40,2,4,6,-3,8,1.2,2,0,0,1,4,0,0,42,4.8,590,14:45
415,Brad Leeb\leebbr01,20,VAN,RW,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,24,12:07
416,Brian Leetch*\leetcbr01,31,NYR,D,50,7,19,26,-16,20,3.8,4,3,0,2,11,8,0,124,5.6,1347,26:57
417,Sylvain Lefebvre\lefebsy01,32,NYR,D,82,2,10,12,-13,43,2.3,2,0,0,0,8,1,1,67,3.0,1525,18:36
418,David Legwand\legwada01,19,NSH,C,71,13,15,28,-6,30,2.5,9,4,0,2,12,3,0,111,11.7,1045,14:43
419,Jere Lehtinen\lehtije01,26,DAL,LW,17,3,5,8,1,0,0.8,3,0,0,1,5,0,0,29,10.3,298,17:31
420,Claude Lemieux\lemiecl01,34,TOT,RW,83,20,27,47,-3,90,4.2,13,7,0,3,19,6,2,257,7.8,1497,18:02
421,Jean-Yves Leroux\lerouje01,23,CHI,LW,54,3,5,8,-10,43,-0.3,3,0,0,1,5,0,0,36,8.3,579,10:44
422,Curtis Leschyshyn\leschcu01,30,CAR,D,53,0,2,2,-19,14,0.1,0,0,0,0,2,0,0,31,0.0,943,17:47
423,Alan Letang\letanal01,24,DAL,D,8,0,0,0,-5,2,-0.3,0,0,0,0,0,0,0,1,0.0,80,9:57
424,Trevor Letowski\letowtr01,22,PHX,C,82,19,20,39,2,20,3.7,12,3,4,3,16,1,3,125,15.2,1316,16:03
425,Nicklas Lidstrom*\lidstni01,29,DET,D,81,20,53,73,19,18,13.0,7,9,4,3,30,22,1,218,9.2,2328,28:45
426,Juha Lind\lindju01,26,TOT,LW,47,4,6,10,-3,10,0.7,4,0,0,0,6,0,0,42,9.5,493,10:29
427,Trevor Linden\lindetr01,29,MTL,C,50,13,17,30,-3,34,3.2,9,4,0,3,12,5,0,87,14.9,892,17:51
428,Mats Lindgren\lindgma01,25,NYI,C,43,9,7,16,0,24,1.2,8,1,0,1,6,1,0,68,13.2,829,19:17
429,Eric Lindros*\lindrer01,26,PHI,C,55,27,32,59,11,83,7.7,16,10,1,2,21,11,0,187,14.4,1212,22:02
430,Bill Lindsay\lindsbi01,28,CGY,LW,80,8,12,20,-7,86,0.8,8,0,0,2,9,1,2,147,5.4,1034,12:55
431,Richard Lintner\lintnri01,22,NSH,D,33,1,5,6,-6,22,0.9,1,0,0,0,3,2,0,58,1.7,490,14:51
432,Dave Lowry\lowryda01,34,SJS,LW,32,1,4,5,1,18,0.2,1,0,0,0,4,0,0,25,4.0,294,9:11
433,Warren Luhning\luhniwa01,24,DAL,RW,10,0,1,1,-2,13,-0.1,0,0,0,0,1,0,0,7,0.0,103,10:21
434,Brad Lukowich\lukowbr01,23,DAL,D,60,3,1,4,-14,50,0.8,3,0,0,1,1,0,0,33,9.1,704,11:44
435,Jyrki Lumme\lummejy01,33,PHX,D,74,8,32,40,9,44,7.1,4,4,0,3,17,12,3,142,5.6,1746,23:36
436,Roman Lyashenko\lyashro01,20,DAL,C,58,6,6,12,-2,10,0.9,6,0,0,1,6,0,0,51,11.8,634,10:56
437,Al MacInnis*\macinal01,36,STL,D,61,11,28,39,20,34,8.7,5,6,0,7,14,13,1,245,4.5,1593,26:07
438,John MacLean\maclejo01,35,NYR,RW,77,18,24,42,-2,52,4.2,10,6,2,3,23,1,0,158,11.4,1134,14:44
439,John Madden\maddejo01,26,NJD,LW,74,16,9,25,7,6,3.0,10,0,6,3,9,0,0,115,13.9,863,11:40
440,Adam Mair\mairad01,20,TOR,C,8,1,0,1,-1,6,0.0,1,0,0,0,0,0,0,7,14.3,92,11:33
441,Vladimir Malakhov\malakvl01,31,TOT,D,24,1,4,5,1,23,1.3,0,1,0,1,3,1,0,18,5.6,494,20:36
442,Stewart Malgunas\malgust01,29,CGY,D,4,0,1,1,1,2,0.2,0,0,0,0,1,0,0,0,,52,12:57
443,Manny Malhotra\malhoma01,19,NYR,C,27,0,0,0,-6,4,-0.5,0,0,0,0,0,0,0,18,0.0,181,6:42
444,Marek Malik\malikma01,24,CAR,D,57,4,10,14,13,63,4.4,4,0,0,1,9,1,0,57,7.0,1026,18:00
445,Kirk Maltby\maltbki01,27,DET,RW,41,6,8,14,1,24,1.1,4,0,2,1,8,0,0,71,8.5,554,13:30
446,Kent Manderville\mandeke01,28,TOT,C,69,1,7,8,-6,16,-0.2,1,0,0,1,7,0,0,62,1.6,617,8:57
447,Mike Maneluk\manelmi01,26,PHI,RW,1,0,0,0,0,4,0.0,0,0,0,0,0,0,0,2,0.0,8,7:34
448,Cameron Mann\mannca01,22,BOS,RW,32,8,4,12,-6,13,1.2,7,1,0,0,4,0,0,48,16.7,411,12:50
449,Dave Manson\mansoda01,33,TOT,D,63,1,9,10,12,62,3.1,1,0,0,0,5,4,0,66,1.5,992,15:45
450,Paul Mara\marapa01,20,TBL,D,54,7,11,18,-27,73,1.5,3,4,0,1,7,4,0,78,9.0,1200,22:13
451,Todd Marchant\marchto01,26,EDM,C,82,17,23,40,7,70,3.8,16,0,1,0,16,5,2,170,10.0,1405,17:08
452,Bryan Marchment\marchbr02,30,SJS,D,49,0,4,4,3,72,1.6,0,0,0,0,3,1,0,51,0.0,927,18:55
453,Josef Marha\marhajo01,23,CHI,C,81,10,12,22,-10,18,1.0,7,2,1,3,11,1,0,91,11.0,1080,13:20
454,Danny Markov\markoda01,23,TOR,D,59,0,10,10,13,28,2.8,0,0,0,0,7,2,1,38,0.0,1188,20:08
455,Patrick Marleau\marlepa01,20,SJS,C,81,17,23,40,-9,36,3.6,14,3,0,3,16,7,0,161,10.6,1149,14:11
456,Grant Marshall\marshgr01,26,DAL,RW,45,2,6,8,-5,38,0.1,1,1,0,0,4,2,0,43,4.7,509,11:19
457,Jason Marshall\marshja02,28,MDA,D,55,0,3,3,-10,88,0.5,0,0,0,0,3,0,0,41,0.0,910,16:33
458,Steve Martins\martist02,27,TOT,C,59,6,7,13,-12,37,0.1,5,0,1,1,5,0,2,65,9.2,789,13:22
459,Marquis Mathieu\mathima01,26,BOS,C,6,0,2,2,-2,4,0.1,0,0,0,0,2,0,0,3,0.0,36,6:04
460,Christian Matte\mattech01,25,COL,RW,5,0,1,1,-2,4,0.0,0,0,0,0,0,1,0,1,0.0,43,8:37
461,Stephane Matteau\mattest01,30,SJS,RW,69,12,12,24,-3,61,2.2,12,0,0,3,12,0,0,73,16.4,818,11:52
462,Richard Matvichuk\matviri01,26,DAL,D,70,4,21,25,7,42,6.4,4,0,0,1,14,6,1,73,5.5,1712,24:27
463,Brad May\maybr01,28,VAN,LW,59,9,7,16,-2,90,1.4,9,0,0,3,7,0,0,66,13.6,613,10:24
464,Jamal Mayers\mayerja01,25,STL,RW,79,7,10,17,0,90,1.2,7,0,0,0,10,0,0,99,7.1,771,9:46
465,Chris McAllister\mcallch01,24,TOR,D,36,0,3,3,-4,68,0.3,0,0,0,0,3,0,0,12,0.0,433,12:02
466,Chris McAlpine\mcalpch01,28,TOT,D,34,2,2,4,-8,26,0.5,2,0,0,0,2,0,0,34,5.9,488,14:22
467,Dean McAmmond\mcammde01,26,CHI,LW,76,14,18,32,11,72,2.9,13,1,0,1,16,1,1,118,11.9,1248,16:25
468,Bryan McCabe\mccabbr01,24,CHI,D,79,6,19,25,-8,139,3.8,4,2,0,2,13,6,0,119,5.0,1848,23:23
469,Sandy McCarthy\mccarsa01,27,TOT,RW,71,6,5,11,-3,120,0.7,5,1,0,0,3,2,0,80,7.5,702,9:53
470,Steve McCarthy\mccarst01,18,CHI,D,5,1,1,2,0,4,0.4,0,1,0,0,0,1,0,4,25.0,76,15:09
471,Darren McCarty\mccarda02,27,DET,RW,24,6,6,12,1,48,1.3,6,0,0,1,6,0,0,40,15.0,328,13:40
472,Alyn McCauley\mccaual01,22,TOR,C,45,5,5,10,-6,10,0.4,4,1,0,0,5,0,0,41,12.2,485,10:46
473,Trent McCleary\mccletr01,27,MTL,C,12,1,0,1,2,4,0.2,1,0,0,0,0,0,0,4,25.0,75,6:14
474,Shawn McEachern\mceacsh01,30,OTT,LW,69,29,22,51,2,24,6.5,19,10,0,4,16,6,0,219,13.2,1231,17:50
475,Dan McGillis\mcgilda01,27,PHI,D,68,4,14,18,16,55,5.5,1,3,0,1,8,5,1,128,3.1,1365,20:04
476,Marty McInnis\mcinnma01,29,MDA,RW,62,10,18,28,-4,26,1.8,7,2,1,2,9,8,1,129,7.8,1182,19:04
477,Randy McKay\mckayra02,33,NJD,RW,67,16,23,39,8,80,4.1,13,3,0,4,19,4,0,116,13.8,1048,15:39
478,Jay McKee\mckeeja01,22,BUF,D,78,5,12,17,5,50,4.4,4,1,0,1,11,0,1,84,6.0,1635,20:58
479,Steve McKenna\mckenst01,26,LAK,LW,46,0,5,5,3,125,0.2,0,0,0,0,5,0,0,14,0.0,225,4:53
480,Jim McKenzie\mckenji02,30,TOT,LW,61,4,5,9,-5,64,0.3,4,0,0,0,5,0,0,32,12.5,514,8:26
481,Kyle McLaren\mclarky01,22,BOS,D,71,8,11,19,-4,67,4.5,6,2,0,3,10,1,0,142,5.6,1654,23:18
482,Marty McSorley\mcsorma01,36,BOS,D,27,2,3,5,2,62,1.4,2,0,0,0,2,1,0,24,8.3,379,14:01
483,Scott Mellanby\mellasc01,33,FLA,RW,77,18,28,46,14,126,5.1,12,6,0,2,24,4,0,134,13.4,1144,14:51
484,Eric Messier\messier01,26,COL,D,61,3,6,9,0,24,1.9,2,1,0,0,6,0,0,28,10.7,637,10:27
485,Mark Messier*\messima01,39,VAN,C,66,17,37,54,-15,30,4.3,11,6,0,4,23,13,1,131,13.0,1399,21:12
486,Glen Metropolit\metrogl01,25,WSH,C,30,6,13,19,5,4,2.1,5,1,0,1,10,3,0,57,10.5,398,13:17
487,Petr Mika\mikape01,20,NYI,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,14,4:30
488,Craig Millar\millacr01,23,NSH,D,57,3,11,14,-6,28,2.5,3,0,0,1,9,2,0,50,6.0,962,16:53
489,Aaron Miller\milleaa01,28,COL,D,53,1,7,8,3,36,2.3,1,0,0,0,7,0,0,44,2.3,1012,19:05
490,Kevin Miller\milleke02,34,OTT,RW,9,3,2,5,1,2,0.8,2,1,0,2,2,0,0,11,27.3,74,8:10
491,Kip Miller\milleki01,30,TOT,C,74,10,32,42,0,14,3.4,8,2,0,2,25,7,0,82,12.2,1041,14:04
492,Boris Mironov\mironbo01,27,CHI,D,58,9,28,37,-3,72,5.5,3,4,2,1,17,11,0,144,6.3,1443,24:53
493,Dmitri Mironov\mirondm01,34,WSH,D,73,3,19,22,7,28,4.6,2,1,0,0,10,9,0,99,3.0,1487,20:22
494,Willie Mitchell\mitchwi01,22,NJD,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,2,0.0,32,16:04
495,Mike Modano*\modanmi01,29,DAL,C,77,38,43,81,0,48,9.7,26,11,1,8,23,16,4,188,20.2,1764,22:55
496,Fredrik Modin\modinfr01,25,TBL,LW,80,22,26,48,-26,18,4.1,19,3,0,5,17,9,0,167,13.2,1243,15:32
497,Jaroslav Modry\modryja01,28,LAK,D,26,5,4,9,-2,18,1.6,0,5,0,1,3,1,0,32,15.6,500,19:13
498,Alexander Mogilny\mogilal01,30,TOT,RW,59,24,20,44,3,20,5.2,18,5,1,1,17,3,0,161,14.9,1125,19:04
499,Barrie Moore\mooreba01,24,WSH,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,10,9:50
500,Ian Moran\morania01,27,PIT,D,73,4,8,12,-10,28,1.5,4,0,0,0,8,0,0,58,6.9,829,11:21
501,David Moravec\moravda01,26,BUF,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,15,15:15
502,Ethan Moreau\moreaet01,24,EDM,LW,73,17,10,27,8,62,3.0,16,1,0,3,9,0,1,106,16.0,1103,15:07
503,Dave Morissette\morisda01,28,MTL,LW,1,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,,4,3:50
504,Marc Moro\moroma01,22,NSH,D,8,0,0,0,-3,40,-0.1,0,0,0,0,0,0,0,3,0.0,87,10:55
505,Aleksey Morozov\morozal01,22,PIT,RW,68,12,19,31,12,14,3.1,11,0,1,0,18,1,0,101,11.9,942,13:51
506,Derek Morris\morride01,21,CGY,D,78,9,29,38,2,80,6.9,6,3,0,2,18,11,0,193,4.7,1938,24:51
507,Brendan Morrison\morribr01,24,TOT,C,56,7,28,35,12,18,3.2,5,2,0,1,19,9,0,96,7.3,887,15:50
508,Brenden Morrow\morrobr01,21,DAL,LW,64,14,19,33,8,81,3.7,11,3,0,3,14,5,0,113,12.4,1014,15:51
509,Mark Mowers\mowerma01,25,NSH,RW,41,4,5,9,0,10,0.7,4,0,0,0,5,0,0,50,8.0,449,10:58
510,Bill Muckalt\muckabi01,25,TOT,RW,45,8,11,19,11,21,2.1,7,1,0,1,10,1,0,79,10.1,629,13:59
511,Bryan Muir\muirbr01,26,TOT,D,41,3,4,7,-9,45,1.0,2,0,1,0,2,2,0,51,5.9,781,19:03
512,Kirk Muller\mulleki01,33,DAL,C,47,7,15,22,-3,24,1.8,4,3,0,2,9,5,1,57,12.3,770,16:24
513,Gord Murphy\murphgo01,32,ATL,D,58,1,10,11,-26,38,0.9,1,0,0,0,6,3,1,74,1.4,1315,22:41
514,Joe Murphy\murphjo01,32,TOT,RW,55,12,15,27,1,94,2.8,8,4,0,2,12,3,0,118,10.2,815,14:49
515,Larry Murphy*\murphla01,38,DET,D,81,10,30,40,4,45,6.9,3,7,0,0,21,9,0,146,6.8,1769,21:50
516,Chris Murray\murrach01,25,DAL,RW,32,2,1,3,-7,62,0.0,2,0,0,0,1,0,0,25,8.0,170,5:19
517,Glen Murray\murragl01,27,LAK,RW,78,29,33,62,13,60,7.1,18,10,1,2,25,8,0,202,14.4,1443,18:30
518,Rem Murray\murrare01,27,EDM,C,44,9,5,14,-2,8,1.2,7,2,0,3,4,1,0,65,13.8,628,14:16
519,Brantt Myhres\myhrebr01,25,SJS,RW,13,0,1,1,0,97,0.0,0,0,0,0,1,0,0,2,0.0,40,3:03
520,Dmitri Nabokov\nabokdm01,23,NYI,LW,26,4,7,11,-8,16,0.7,4,0,0,0,5,2,0,40,10.0,352,13:33
521,Ladislav Nagy\nagyla01,20,STL,RW,11,2,4,6,2,2,0.7,1,1,0,0,3,1,0,15,13.3,136,12:19
522,Evgeny Namestnikov\namesjo01,28,NSH,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,32,15:48
523,Tyson Nash\nashty01,24,STL,LW,66,4,9,13,6,150,1.1,3,0,1,1,8,1,0,68,5.9,567,8:35
524,Markus Naslund\nasluma02,26,VAN,LW,82,27,38,65,-5,64,6.4,19,6,2,3,18,19,1,271,10.0,1657,20:13
525,Andrei Nazarov\nazaran01,25,CGY,RW,76,10,22,32,3,78,2.9,9,1,0,1,20,2,0,110,9.1,892,11:44
526,Rumun Ndur\ndurru01,24,ATL,D,27,1,0,1,-17,71,-0.7,1,0,0,0,0,0,0,6,16.7,356,13:12
527,Stan Neckar\neckast01,24,PHX,D,66,2,8,10,1,36,2.1,2,0,0,0,8,0,0,34,5.9,954,14:27
528,Petr Nedved\nedvepe01,28,NYR,C,76,24,44,68,2,40,7.0,16,6,2,4,28,15,1,201,11.9,1513,19:54
529,Sergei Nemchinov\nemchse01,36,NJD,C,53,10,16,26,1,18,2.5,9,0,1,1,13,2,1,55,18.2,726,13:42
530,Jan Nemecek\nemecja01,23,LAK,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,10,9:36
531,Eric Nickulas\nickuer01,24,BOS,RW,20,5,6,11,-1,12,1.3,4,1,0,0,5,1,0,28,17.9,224,11:13
